Protein	geneSymbol	diseaseName	diseaseClass	disease
Alpha-2-HS-glycoprotein	AHSG	Acute kidney injury	C13	Болезни женских половых органов и осложнения беременности
Alpha-2-macroglobulin	A2M	Kidney Failure, Acute	C13	Болезни женских половых органов и осложнения беременности
Alpha-2-macroglobulin	A2M	Nephrotic Syndrome	C13	Болезни женских половых органов и осложнения беременности
Alpha-2-macroglobulin	A2M	Acute Kidney Insufficiency	C13	Болезни женских половых органов и осложнения беременности
Alpha-2-macroglobulin	A2M	Acute kidney injury	C13	Болезни женских половых органов и осложнения беременности
Antithrombin-III	SERPINC1	Nephrotic Syndrome	C13	Болезни женских половых органов и осложнения беременности
Apolipoprotein A-I	APOA1	Membranous glomerulonephritis	C13	Болезни женских половых органов и осложнения беременности
Apolipoprotein A-I	APOA1	Idiopathic Membranous Glomerulonephritis	C13	Болезни женских половых органов и осложнения беременности
Apolipoprotein A-I	APOA1	Renal glomerular disease	C13	Болезни женских половых органов и осложнения беременности
Apolipoprotein A-I	APOA1	Heymann Nephritis	C13	Болезни женских половых органов и осложнения беременности
Beta-2-microglobulin	B2M	Kidney Diseases	C13	Болезни женских половых органов и осложнения беременности
Beta-2-microglobulin	B2M	Kidney Failure, Acute	C13	Болезни женских половых органов и осложнения беременности
Beta-2-microglobulin	B2M	Acute Kidney Insufficiency	C13	Болезни женских половых органов и осложнения беременности
Beta-2-microglobulin	B2M	Acute kidney injury	C13	Болезни женских половых органов и осложнения беременности
C-reactive protein	CRP	Kidney Failure, Chronic	C13	Болезни женских половых органов и осложнения беременности
C-reactive protein	CRP	Nephritis, Interstitial	C13	Болезни женских половых органов и осложнения беременности
C-reactive protein	CRP	Nephritis, Tubulointerstitial	C13	Болезни женских половых органов и осложнения беременности
Ceruloplasmin	CP	Albuminuria	C13	Болезни женских половых органов и осложнения беременности
Ceruloplasmin	CP	Kidney Failure, Acute	C13	Болезни женских половых органов и осложнения беременности
Ceruloplasmin	CP	Acute Kidney Insufficiency	C13	Болезни женских половых органов и осложнения беременности
Ceruloplasmin	CP	Acute kidney injury	C13	Болезни женских половых органов и осложнения беременности
Complement C1q subcomponent subunit A	C1QA	IGA Glomerulonephritis	C13	Болезни женских половых органов и осложнения беременности
Complement C1q subcomponent subunit A	C1QA	Glomerulonephritis, Membranoproliferative	C13	Болезни женских половых органов и осложнения беременности
